V2,V7,V8,V9,V10,gid,project,psid,PID,K2,wave,gc,term,lang,hilow,incent,Q_Language,cguess,Q_TotalDuration,med,Q19_1,D1,D2,D3,Q1,Q2,Q8,Q5,Q6,Q7,Q9,Quiz.1.Correct,Quiz.2.Correct,Quiz.3.Correct,Quiz.4.Correct,Quiz.5.Correct,Quiz.6.Correct,Q10_1,Q12,Q18_1,Q13,Q14,Q15#1_1,Q15#1_2,Q15#1_3,Q15#1_4,Q15#1_5,Q15#1_6,Q15#1_7,Q15#1_8,Q15#1_9,Q15#1_10,Q15#1_11,Q15#1_12,Q15#1_13,Q15#1_14,Q15#1_15,Q16,Q22,Q23,Q24,Q27,Q29,Q28,Q31,Q29,Q30,Q32_1,Q32_2,Q32_3,Q32_4,DO-BR-FL_180,DO-BR-FL_169,DO-BR-FL_183,DO-BR-FL_23,DO-BR-FL_186,DO-BR-FL_31,DO-BR-FL_189,DO-BR-FL_47,DO-BR-FL_192,DO-BR-FL_43,DO-BR-FL_195,DO-BR-FL_39,DO-BR-FL_198,DO-BR-FL_35,DO-BR-FL_19,DO-BR-FL_8,DO-BR-FL_263,DO-BR-FL_254,DO-BR-FL_236,DO-BR-FL_227,DO-BR-FL_160,DO-BR-FL_150,DO-BR-FL_130,DO-BR-FL_120,DO-BR-FL_100,DO-BR-FL_89,DO-Q-Q15,LocationAccuracy
ResponseSet,Status,StartDate,EndDate,Finished,gid,project,psid,PID,K2,wave,gc,term,lang,hilow,incent,Q_Language,cguess,Q_TotalDuration,med,"In the next part of the survey, you will be asked to make some decisions. The decisions you make...-<span style=""font-size:19px;"">I consent to taking part in this part of the survey</span>",What is your gender?,How old are you?,List of Countries,Below is a short quiz on the topic of / music. /  We will pay you /  $${e://Field/hilow} extra if you g...,"Who wrote the composition ""Für / Elise""?",What is Lady Gaga's real first / name?,Name the drummer of the rock group Nirvana.,In what year was Claude Debussy / born?,How many valves are there on a / standard modern trumpet?,Name the town and state of the US / where Michael Jackson was born.,,,,,,," -<span style=""font-size:16px;"">I confirm that I answered the quiz on my own, and that I did not look up any answers.</span>",On the next page you will need to /  flip a coin. /  /  Please get a coin ready /  before moving on! /   ," -<span style=""font-size:19px;"">OK, I have a coin ready</span>","Please now flip the coin.If the coin lands on ""heads"", we will pay you an extra / $ ...",Did the coin land on heads?,"Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Claiming government benefits to which you are not entitled","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Buying something which you know is stolen","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Taking cannabis","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Keeping money that you found in the street","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Lying in your own interests","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Having an affair when you are married","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Having sex under the legal age of consent","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Failing to report accidental damage you’ve done to a parked vehicle","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Throwing away litter in a public place","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Driving under the influence of alcohol","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Avoiding a fare on public transport ","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Cheating on taxes if you have a chance ","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Someone accepting a bribe in the course of their duties ","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Driving faster than the speed limit","Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified? :  -Making up things on a job application",Some people from ${e://Field/cguess} / are answering this questionnaire. / Think back to the coin fli...,We will pay you an extra 2$ if your / answer is within 10% of the correct percentage.,Please enter your nationality:,Do you attend religious / services?,Please indicate your marital / status:,How many children do you have / (including step-children)?,"What is your total monthly income / (from all sources, net of tax)?",Is religion an important part of your / life?,At what age did you complete your education?,"Generally speaking, would you say that most people can be trusted or that you need to be very car...","Which of these things, if any, have / you done in the past 12 months?-Avoided a fare on public transport","Which of these things, if any, have / you done in the past 12 months?-Made something up on a job application","Which of these things, if any, have / you done in the past 12 months?-Downloaded music or videos without paying for them","Which of these things, if any, have / you done in the past 12 months?-Called in sick to work when not actually unwell",Display Order: Block Randomizer FL_180,Display Order: Block Randomizer FL_169,Display Order: Block Randomizer FL_183,Display Order: Block Randomizer FL_23,Display Order: Block Randomizer FL_186,Display Order: Block Randomizer FL_31,Display Order: Block Randomizer FL_189,Display Order: Block Randomizer FL_47,Display Order: Block Randomizer FL_192,Display Order: Block Randomizer FL_43,Display Order: Block Randomizer FL_195,Display Order: Block Randomizer FL_39,Display Order: Block Randomizer FL_198,Display Order: Block Randomizer FL_35,Display Order: Block Randomizer FL_19,Display Order: Block Randomizer FL_8,Display Order: Block Randomizer FL_263,Display Order: Block Randomizer FL_254,Display Order: Block Randomizer FL_236,Display Order: Block Randomizer FL_227,Display Order: Block Randomizer FL_160,Display Order: Block Randomizer FL_150,Display Order: Block Randomizer FL_130,Display Order: Block Randomizer FL_120,Display Order: Block Randomizer FL_100,Display Order: Block Randomizer FL_89,"Display Order: Please / think about each of the following actions. In your / opinion, is the action always justified, sometimes / justified, rarely justified or never justified?",LocationAccuracy
Default Response Set,0,07/07/2015 18:36,07/07/2015 18:38,1,AR100002,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,no,EN,India,119,{Invalid Expression},1,1,3,7,1,vdsfbggsd,dafdffg,dfgrqwfwq,rfreqgerf,wqfwrqfwerf,ewqfqwr,0,0,0,0,0,0,1,1,1,1,1,3,2,3,2,2,1,2,2,3,3,3,2,1,2,3,50,,indiam,1,1,2,50000,2,1,1,1,1,2,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_21,FL_10,,,,,,,,,,,7|8|2|4|11|15|10|1|5|14|6|13|12|9|3,-1
Default Response Set,0,07/07/2015 19:51,07/07/2015 19:56,1,AR200002,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Reino Unido de Gran Bretaña e Irlanda del Norte,335,{Expresión no válida},1,1,4,7,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,90,1,Argentino,2,2,3,17000 pesos,2,7,2,2,2,1,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_20,,,FL_257,,,,,,,,,9|10|2|14|1|6|8|3|15|7|5|12|13|11|4,-1
Default Response Set,0,07/07/2015 19:59,07/07/2015 19:59,1,AR200011,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,ES,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/07/2015 19:52,07/07/2015 20:00,1,AR200004,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,yes,ES,India,499,{Expresión no válida},1,1,3,7,1,Beethoven,Stefani,Dave Grohl,1862,3,No se,1,1,1,1,1,0,1,1,1,1,2,4,4,5,2,3,3,1,4,4,4,3,4,4,4,4,75,1,Argentino,2,1,1,10000,2,8,2,2,2,1,2,,,,,,,,,FL_193,Coin flip|Quiz,,,,,FL_20,,,FL_255,,,,,,,,,13|11|14|4|5|1|9|3|12|7|6|2|15|8|10,-1
Default Response Set,0,07/07/2015 20:01,07/07/2015 20:01,1,AR200014,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,ES,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/07/2015 20:01,07/07/2015 20:04,1,AR200013,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,ES,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:05,1,UK200006,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,EN,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/07/2015 19:53,07/07/2015 20:07,1,AR200005,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,no,ES,Sudáfrica,835,{Expresión no válida},1,2,5,7,1,bethoven,Stefani joane,dave groh,22/08/1862,4,Gary Indiana,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,20,,argentina,2,2,4,10,2,7,2,2,2,1,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_21,,,FL_261,,,,,,,,,1|14|12|6|3|5|9|11|2|8|13|10|4|15|7,-1
Default Response Set,0,07/07/2015 19:50,07/07/2015 20:08,1,IN200001,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,Denmark,1032,{Invalid Expression},1,1,3,78,1,Ludwig van Beethoven,Stefani Joanne Angelina Germanotta,Rock band,8/22/1862,3 valves,"August 29, 1958, in Gary, Indiana,",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,indian,1,2,3,30000,1,7,1,1,1,1,1,FL_182,Coin flip|Quiz,,,,,,,,,,,,,FL_20,FL_14,,,,,,,,,,,6|5|12|10|11|2|13|4|7|9|8|15|14|1|3,-1
