,...1,valid,incent_heads,incent_guess,country_guess,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score
0,0,1,5,yes,Brazil,1.0,6.0,US,True,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,50.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
1,1,1,5,no,Brazil,2.0,6.0,US,True,2.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,48.0,US,1.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
2,2,1,5,no,the United States,1.0,5.0,US,False,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,75.0,US,3.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
3,3,1,3,yes,the United States,2.0,6.0,US,True,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,76.0,US,3.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
4,4,1,5,yes,Russia,1.0,6.0,US,True,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,100.0,US,3.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
5,5,1,3,yes,Brazil,2.0,5.0,US,True,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,US,3.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
6,6,1,5,no,Greece,1.0,6.0,US,False,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,65.0,US,2.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
7,7,1,5,yes,Turkey,1.0,6.0,US,True,4.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,30.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
8,8,1,3,yes,Japan,2.0,6.0,US,False,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,50.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
9,9,1,3,no,China,1.0,6.0,US,True,4.0,4.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,50.0,US,3.0,American,1.0,0,0.0,0,1,0,,,,,,,,,,0
10,10,1,5,no,Switzerland,1.0,6.0,US,False,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,60.0,US,3.0,American,1.0,1,0.0,0,0,1,,,,,,,,,,2
11,11,1,5,no,Japan,2.0,3.0,US,False,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,85.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
12,12,1,5,yes,Greece,1.0,5.0,US,False,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,40.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
13,13,1,5,no,Russia,2.0,3.0,US,True,4.0,4.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,US,3.0,American,0.0,0,1.0,0,0,0,,,,,,,,,,0
14,14,1,5,yes,the United States,2.0,5.0,US,True,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,90.0,US,2.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
15,15,1,5,no,Greece,2.0,4.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,US,2.0,American,0.0,0,1.0,0,0,1,,,,,,,,,,1
16,16,1,3,yes,Brazil,1.0,6.0,US,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,25.0,US,2.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
17,17,1,5,no,the United States,2.0,2.0,US,True,4.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,25.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
18,18,1,3,yes,China,2.0,6.0,US,False,4.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,50.0,US,1.0,American,1.0,0,0.0,0,1,1,,,,,,,,,,1
19,19,1,3,no,Japan,2.0,2.0,US,False,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,58.0,US,1.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
20,20,1,5,no,Greece,2.0,6.0,US,True,4.0,5.0,2.0,3.0,1.0,4.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,66.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
21,21,1,5,no,Switzerland,2.0,6.0,US,True,4.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,65.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
22,22,1,3,yes,Turkey,2.0,6.0,US,False,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,50.0,US,1.0,American,1.0,0,0.0,0,0,0,,,,,,,,,,0
23,23,1,5,no,Switzerland,1.0,6.0,US,True,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,US,2.0,American,1.0,0,0.0,0,0,0,,,,,,,,,,0
24,24,1,3,no,Russia,2.0,2.0,US,False,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,90.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
25,25,1,3,no,the United States,2.0,2.0,US,True,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,75.0,US,1.0,American,1.0,0,1.0,0,0,0,,,,,,,,,,0
26,26,1,5,no,Brazil,2.0,3.0,US,True,3.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,25.0,US,2.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
27,27,1,5,no,China,2.0,4.0,US,True,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,30.0,US,2.0,American,1.0,1,1.0,0,1,1,,,,,,,,,,2
28,28,1,5,no,the United States,2.0,4.0,US,True,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,95.0,US,2.0,American,1.0,1,1.0,0,1,1,,,,,,,,,,2
29,29,1,3,yes,China,2.0,5.0,US,True,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,30.0,US,1.0,American,0.0,0,0.0,0,1,1,,,,,,,,,,1
30,30,1,3,yes,Turkey,1.0,5.0,US,False,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,68.0,US,3.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
31,31,1,3,no,Greece,1.0,5.0,US,True,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,50.0,US,2.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
32,32,1,3,yes,Russia,2.0,5.0,US,False,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,90.0,US,3.0,American,1.0,1,1.0,0,0,0,,,,,,,,,,1
33,33,1,5,yes,Japan,1.0,5.0,US,True,4.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,25.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
34,34,1,5,no,Brazil,2.0,5.0,US,False,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,50.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
35,35,1,5,yes,Japan,2.0,5.0,US,True,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,80.0,US,2.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
36,36,1,3,yes,Switzerland,1.0,5.0,US,False,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,80.0,US,3.0,American,0.0,0,1.0,0,1,0,,,,,,,,,,0
37,37,1,3,no,Brazil,2.0,3.0,US,True,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,20.0,US,2.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
38,38,1,3,no,Greece,2.0,5.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40.0,US,1.0,American,0.0,0,0.0,1,1,1,,,,,,,,,,2
39,39,1,5,no,China,2.0,2.0,US,True,4.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,95.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
40,40,1,3,no,Switzerland,2.0,3.0,US,False,4.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,72.0,US,2.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
41,41,1,5,no,Russia,2.0,3.0,US,True,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,65.0,US,2.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
42,42,1,3,no,China,2.0,3.0,US,False,4.0,4.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,80.0,US,3.0,American,0.0,0,1.0,0,0,1,,,,,,,,,,1
43,43,1,5,no,Russia,2.0,4.0,US,True,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,55.0,US,2.0,American,1.0,1,1.0,0,1,1,,,,,,,,,,2
44,44,1,3,yes,Brazil,2.0,3.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,90.0,US,1.0,American,0.0,1,1.0,0,0,1,,,,,,,,,,2
45,45,1,5,yes,Turkey,2.0,4.0,US,True,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,60.0,US,2.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
